time,open,high,low,close,volume,amount,bid1,bid1_vol,ask1,ask1_vol
1770776587000.0,2.105,2.105,2.105,2.105,3.0,632.0,0.0,0.0,0.0,0.0
1770776590000.0,2.105,2.105,2.104,2.104,944.0,198619.0000000298,0.0,0.0,0.0,0.0
1770776593000.0,2.104,2.104,2.104,2.104,1091.0,229544.9999999702,0.0,0.0,0.0,0.0
1770776602000.0,2.104,2.104,2.104,2.104,25.0,5260.0,0.0,0.0,0.0,0.0
1770776605000.0,2.104,2.104,2.104,2.104,31.0,6522.0,0.0,0.0,0.0,0.0
1770776608000.0,2.104,2.104,2.103,2.103,2.0,421.0,0.0,0.0,0.0,0.0
1770776611000.0,2.103,2.103,2.103,2.103,49.0,10307.0,0.0,0.0,0.0,0.0
1770776614000.0,2.103,2.104,2.103,2.104,1.0,210.0,0.0,0.0,0.0,0.0
1770776617000.0,2.104,2.104,2.104,2.104,62.0,13045.000000029802,0.0,0.0,0.0,0.0
1770776620000.0,2.104,2.105,2.104,2.105,27.0,5679.999999940395,0.0,0.0,0.0,0.0
1770776623000.0,2.105,2.105,2.104,2.104,80.0,16833.000000029802,0.0,0.0,0.0,0.0
1770776626000.0,2.104,2.105,2.104,2.105,6655.0,1400878.0,0.0,0.0,0.0,0.0
1770776629000.0,2.105,2.105,2.105,2.105,3349.0,704964.0,0.0,0.0,0.0,0.0
1770776632000.0,2.105,2.105,2.104,2.104,229.0,48203.0,0.0,0.0,0.0,0.0
1770776635000.0,2.104,2.104,2.104,2.104,92.0,19365.000000029802,0.0,0.0,0.0,0.0
1770776638000.0,2.104,2.105,2.104,2.105,128.0,26931.999999970198,0.0,0.0,0.0,0.0
1770776641000.0,2.105,2.105,2.104,2.104,736.0,154855.0,0.0,0.0,0.0,0.0
1770776644000.0,2.104,2.104,2.104,2.104,1.0,210.00000002980232,0.0,0.0,0.0,0.0
1770776647000.0,2.104,2.105,2.104,2.105,346.0,72807.9999999702,0.0,0.0,0.0,0.0
